Date,Club Type,Club Description,Altitude,Club Speed,Ball Speed,Carry Distance,Total Distance,Roll Distance,Smash,Vertical Launch,Peak Height,Descent Angle,Horizontal Launch,Carry Lateral Distance,Total Lateral Distance,Carry Curve Distance,Total Curve Distance,Attack Angle,Dynamic Loft,Spin Loft,Spin Rate,Spin Axis,Spin Reading,Low Point,Club Path,Face Path,Face Target,Swing Plane Tilt,Swing Plane Rotation,Shot Classification
,,,[ft],[mph],[mph],[yd],[yd],[yd],,[deg],[ft],[deg],[deg],[yd],[yd],[yd],[yd],[deg],[deg],[deg],[rpm],[deg],,[in],[deg],[deg],[deg],[deg],[deg],
2025-03-08 10:54:25,7 Iron,,5600.00,77.85,93.95,140.69,157.56,16.86,1.21,21.50,62.57,36.13,-5.20,-17.50,-20.41,-4.78,-6.17,,,,4681,-11.50,Actual,,,,,,,Pull Draw
2025-03-08 10:54:42,7 Iron,,5600.00,78.29,101.56,155.21,170.88,15.67,1.30,21.70,76.84,39.95,-0.70,-5.44,-6.50,-3.53,-4.41,,,,5408,-6.80,Actual,,,,,,,Draw
2025-03-08 10:55:21,7 Iron,,5600.00,77.17,98.43,147.46,162.62,15.16,1.28,23.20,78.35,41.44,-1.00,-1.27,-1.20,1.31,1.64,,,,5842,2.60,Actual,,,,,,,Straight
2025-03-08 10:55:43,7 Iron,,5600.00,78.29,99.77,150.34,166.09,15.76,1.27,22.20,76.48,40.58,-3.30,-10.96,-12.46,-2.31,-2.91,,,,5783,-4.50,Actual,,,,,,,Pull
2025-03-08 10:56:02,7 Iron,,5600.00,77.85,100.66,156.35,172.79,16.45,1.29,21.30,72.41,37.72,-3.70,-17.26,-20.14,-7.20,-9.02,,,,4738,-14.40,Actual,,,,,,,Pull Draw
2025-03-08 10:56:26,7 Iron,,5600.00,79.41,98.65,146.80,163.05,16.25,1.24,21.80,72.54,39.66,-5.10,-13.88,-15.55,-0.83,-1.06,,,,5911,-1.70,Actual,,,,,,,Pull
2025-03-08 10:56:58,7 Iron,,5600.00,80.08,102.45,155.77,170.58,14.81,1.28,23.20,85.66,42.54,-5.80,-14.69,-15.94,1.05,1.30,,,,5877,1.90,Actual,,,,,,,Pull
2025-03-08 10:57:37,7 Iron,,5600.00,81.20,103.35,158.29,173.79,15.50,1.27,22.50,84.45,41.88,-1.30,-5.28,-6.04,-1.68,-2.09,,,,5706,-3.00,Actual,,,,,,,Straight
2025-03-08 10:58:01,7 Iron,,5600.00,80.08,100.66,151.80,167.22,15.42,1.26,21.10,73.20,39.31,-2.40,-9.79,-11.29,-3.43,-4.29,,,,5726,-6.70,Actual,,,,,,,Pull Draw
2025-03-08 10:58:22,7 Iron,,5600.00,81.20,101.11,155.68,172.76,17.08,1.25,22.50,78.51,39.79,-1.30,-6.24,-7.37,-2.71,-3.46,,,,5099,-5.30,Actual,,,,,,,Draw
2025-03-08 10:58:56,5 Iron,,5600.00,82.77,113.86,182.82,199.90,17.08,1.38,18.60,80.91,37.79,-4.40,-12.94,-14.00,1.09,1.35,,,,4930,1.70,Actual,,,,,,,Pull
2025-03-08 10:59:19,5 Iron,,5600.00,82.32,107.15,169.25,190.70,21.46,1.30,18.10,67.03,34.51,-3.10,-9.15,-10.31,0.00,0.00,,,,4437,0.00,Actual,,,,,,,Pull
2025-03-08 10:59:41,5 Iron,,5600.00,83.44,111.62,180.44,197.71,17.29,1.34,19.00,79.66,37.58,-5.60,-18.78,-20.73,-1.17,-1.44,,,,4629,-1.90,Actual,,,,,,,Pull
2025-03-08 11:00:01,5 Iron,,5600.00,81.20,107.60,170.29,192.49,22.20,1.33,17.60,62.27,31.88,-3.30,-13.46,-15.89,-3.66,-4.82,,,,3986,-7.60,Actual,,,,,,,Pull Draw
2025-03-08 11:00:24,5 Iron,,5600.00,81.65,112.07,176.48,193.56,17.08,1.37,18.40,76.97,37.35,-5.10,-13.20,-14.13,2.49,3.08,,,,5158,4.10,Actual,,,,,,,Pull
2025-03-08 11:00:44,5 Iron,,5600.00,82.77,107.15,164.02,186.12,22.10,1.29,15.70,54.30,30.00,-3.00,-8.49,-9.61,0.08,0.13,,,,4304,0.20,Actual,,,,,,,Pull
2025-03-08 11:01:07,5 Iron,,5600.00,81.65,103.12,159.36,180.12,20.76,1.26,18.00,58.60,31.80,-6.30,-16.70,-18.72,0.80,1.04,,,,4084,1.80,Actual,,,,,,,Pull
2025-03-08 11:01:27,5 Iron,,5600.00,86.12,117.44,188.05,204.07,16.02,1.36,18.30,85.83,39.12,-3.70,-7.74,-7.86,4.40,5.31,,,,5256,6.40,Actual,,,,,,,Pull Fade
2025-03-08 11:01:50,5 Iron,,5600.00,85.67,111.18,169.54,190.50,20.96,1.30,14.90,57.05,31.08,-3.70,-8.65,-9.31,2.29,2.99,,,,4975,4.30,Actual,,,,,,,Pull
2025-03-08 11:02:04,5 Iron,,5600.00,21.47,9.84,0.57,2.79,2.22,0.46,10.20,0.07,4.76,-20.20,-0.20,-0.96,0.00,0.00,,,,2545,0.00,Actual,,,,,,,Pull
2025-03-08 11:02:22,5 Iron,,5600.00,83.44,112.97,181.26,197.73,16.47,1.35,19.50,84.09,38.78,-3.70,-6.57,-6.50,5.13,6.27,,,,4974,8.00,Actual,,,,,,,Pull Fade
2025-03-08 11:02:46,5 Iron,,5600.00,81.65,111.40,175.73,195.05,19.31,1.36,16.40,65.35,33.58,-4.50,-10.83,-11.55,2.97,3.76,,,,4676,5.20,Actual,,,,,,,Pull Fade
2025-03-08 11:03:14,5 Iron,,5600.00,83.44,110.73,173.62,191.79,18.16,1.33,18.00,72.44,36.17,-3.10,-6.77,-7.08,2.62,3.30,,,,5067,4.50,Actual,,,,,,,Pull
2025-03-08 11:03:40,5 Iron,,5600.00,84.56,110.06,165.44,185.98,20.54,1.30,14.80,55.51,31.13,-5.10,-11.63,-12.51,3.09,4.04,,,,5190,6.00,Actual,,,,,,,Pull Fade
2025-03-08 11:04:16,5 Iron,,5600.00,82.77,110.95,177.52,196.61,19.08,1.34,17.80,72.05,35.57,-4.30,-15.94,-18.07,-2.65,-3.34,,,,4595,-4.50,Actual,,,,,,,Pull
2025-03-08 11:04:43,5 Iron,,5600.00,83.44,114.75,181.26,198.96,17.71,1.38,17.30,75.43,36.70,-2.90,-4.45,-4.21,4.72,5.86,,,,5193,7.50,Actual,,,,,,,Pull Fade
2025-03-08 11:05:14,5 Iron,,5600.00,83.89,110.06,171.12,187.25,16.13,1.31,18.60,76.28,38.19,-4.00,-5.49,-5.13,6.45,7.94,,,,5494,10.80,Actual,,,,,,,Pull Fade
2025-03-08 11:05:42,5 Iron,,5600.00,83.44,113.41,182.22,198.68,16.47,1.36,19.40,84.45,38.82,-2.50,-6.14,-6.45,1.82,2.21,,,,4973,2.80,Actual,,,,,,,Pull
2025-03-08 11:06:09,5 Iron,,5600.00,83.89,109.39,165.81,185.98,20.16,1.30,15.90,60.43,32.96,-5.80,-12.12,-12.76,4.66,6.05,,,,5267,8.80,Actual,,,,,,,Pull Fade
2025-03-08 11:06:30,5 Iron,,5600.00,83.89,114.98,185.32,202.45,17.13,1.37,18.20,80.58,37.56,-4.60,-11.73,-12.39,3.14,3.85,,,,4902,4.80,Actual,,,,,,,Pull
2025-03-08 11:06:57,5 Iron,,5600.00,84.56,115.43,183.23,201.07,17.83,1.37,17.90,80.15,38.01,-3.60,-6.17,-6.00,5.34,6.63,,,,5257,8.20,Actual,,,,,,,Pull Fade
2025-03-08 11:07:20,5 Iron,,5600.00,82.77,112.29,178.77,194.31,15.54,1.36,20.70,89.83,40.80,-5.20,-11.64,-12.06,4.58,5.57,,,,5222,7.10,Actual,,,,,,,Pull Fade
2025-03-08 11:07:55,9 Iron,,5600.00,77.17,97.31,142.27,155.60,13.33,1.26,24.60,83.04,43.84,-4.60,-12.62,-13.97,-1.21,-1.50,,,,6884,-2.50,Actual,,,,,,,Pull
2025-03-08 11:08:12,9 Iron,,5600.00,77.17,94.18,134.63,147.51,12.87,1.22,24.10,75.10,42.51,-1.10,-1.68,-1.73,0.90,1.10,,,,7486,2.00,Actual,,,,,,,Straight
2025-03-08 11:08:32,9 Iron,,5600.00,76.06,92.61,132.64,145.17,12.53,1.22,26.30,80.94,44.52,-3.00,-8.66,-9.71,-1.72,-2.12,,,,6992,-3.90,Actual,,,,,,,Pull
2025-03-08 11:08:49,9 Iron,,5600.00,78.29,93.95,135.31,148.73,13.42,1.20,24.80,77.62,43.22,-3.20,-10.19,-11.58,-2.65,-3.28,,,,6976,-5.90,Actual,,,,,,,Pull Draw
2025-03-08 11:09:09,9 Iron,,5600.00,76.06,94.18,135.72,148.30,12.59,1.24,24.70,77.17,42.84,-3.60,-11.26,-12.67,-2.76,-3.38,,,,6776,-6.20,Actual,,,,,,,Pull Draw
2025-03-08 11:09:30,9 Iron,,5600.00,77.17,96.19,139.91,152.73,12.83,1.25,25.60,84.88,44.59,-8.10,-25.20,-28.23,-5.56,-6.79,,,,6938,-11.60,Actual,,,,,,,Pull Draw
2025-03-08 11:09:51,9 Iron,,5600.00,77.17,94.85,136.34,149.56,13.21,1.23,23.60,74.48,42.15,-6.00,-17.76,-19.98,-3.53,-4.37,,,,7343,-7.80,Actual,,,,,,,Pull Draw
2025-03-08 11:10:10,9 Iron,,5600.00,76.73,97.31,142.98,156.17,13.18,1.27,24.40,80.91,42.82,-6.30,-19.51,-21.83,-3.85,-4.74,,,,6276,-8.00,Actual,,,,,,,Pull Draw
2025-03-08 11:10:36,9 Iron,,5600.00,76.73,91.94,134.42,147.98,13.56,1.20,25.40,75.49,42.08,-4.70,-17.67,-20.42,-6.70,-8.34,,,,5658,-15.40,Actual,,,,,,,Pull Hook
2025-03-08 13:00:27,8 Iron,,5600.00,74.49,91.71,126.36,139.85,13.50,1.23,21.90,62.76,39.86,-2.20,-3.00,-3.04,1.85,2.33,,,,9040,4.70,Actual,,,,,,,Pull
2025-03-08 13:00:47,8 Iron,,5600.00,75.61,93.95,135.26,150.24,14.98,1.24,23.00,69.82,40.78,-3.10,-7.57,-8.45,-0.25,-0.33,,,,6639,-0.60,Actual,,,,,,,Pull
2025-03-08 13:01:05,8 Iron,,5600.00,77.85,95.07,137.45,152.79,15.34,1.22,22.40,69.03,40.08,1.00,1.08,1.00,-1.31,-1.67,,,,6424,-3.00,Actual,,,,,,,Straight
